	CityName	Cloudiness	Country	Date	Humidity	Lat	Lng	MaxTemp	WindSpeed
30	Pevek	44.0	RU	1544377537	100	69.7	170.27	-9.9	2.57
31	Rikitea	12.0	PF	1544377537	96	-23.12	-134.97	78.98	13.09
32	Yellowknife	40.0	CA	1544374800	92	62.45	-114.38	10.4	8.05
35	Ushuaia	75.0	AR	1544374800	81	-54.81	-68.31	55.4	5.82
36	Qaanaaq	44.0	GL	1544377539	94	77.48	-69.36	-4.95	11.97
37	Cayhagan	0.0	PH	1544377540	95	9.67	122.43	81.01	12.75
38	Chokurdakh	24.0	RU	1544377540	50	70.62	147.9	-30.1	8.05
40	Callaguip	0.0	PH	1544377541	100	18.07	120.49	70.88	3.91
41	Albany	20.0	US	1544375820	55	42.65	-73.75	35.6	6.93
42	Synya	76.0	RU	1544377541	82	65.37	58.04	17.74	11.07
43	Aklavik	90.0	CA	1544375400	77	68.22	-135.01	3.2	4.7
44	Aksarka	76.0	RU	1544377542	88	66.56	67.8	13.55	11.97
45	Hermanus	0.0	ZA	1544377542	67	-34.42	19.24	63.01	4.81
47	Ortona	20.0	IT	1544374200	71	42.35	14.4	51.8	6.93
48	Kuching	75.0	MY	1544376600	100	1.56	110.34	75.2	7.94
49	Evensk	24.0	RU	1544377544	100	61.92	159.24	8.87	17.67
51	Saint-Philippe	90.0	CA	1544376900	70	45.36	-73.48	30.2	9.17
53	Longyearbyen	40.0	NO	1544374200	62	78.22	15.63	23	12.75
54	Kapaa	90.0	US	1544374560	71	22.08	-159.32	71.96	24.16
55	Bluff	20.0	AU	1544377546	73	-23.58	149.07	70.12	10.74
56	Samarai	48.0	PG	1544377546	100	-10.62	150.67	80.83	4.59
57	Khatanga	68.0	RU	1544377547	71	71.98	102.47	-10.26	9.95
58	Ust-Kulom	68.0	RU	1544377547	87	61.69	53.69	19.99	4.59
59	Hobart	40.0	AU	1544374800	82	-42.88	147.33	57.2	5.82
61	Rio Tuba	76.0	PH	1544377548	99	8.51	117.43	80.6	11.07
62	Saint George	20.0	GR	1544374200	81	39.45	22.34	48.2	5.03
63	Bredasdorp	56.0	ZA	1544374800	72	-34.53	20.04	68	8.05
64	Victoria	75.0	BN	1544374800	94	5.28	115.24	80.6	3.36
65	Laguna	5.0	MX	1544373600	52	27.52	-110.01	68	9.17
66	Borovoy	80.0	RU	1544377551	90	63.23	52.89	19.18	7.16
67	Porto Novo	20.0	BR	1544374800	42	-23.68	-45.44	80.6	6.93
68	Fuquay-Varina	90.0	US	1544377260	100	35.58	-78.8	37.04	18.34
69	Jamestown	44.0	AU	1544377553	78	-33.21	138.6	63.77	8.05
70	Xichang	0.0	CN	1544377553	25	27.88	102.25	51.76	3.13
71	Upernavik	48.0	GL	1544377421	100	72.79	-56.15	8.33	4.81
72	Kahului	75.0	US	1544374560	71	20.89	-156.47	73.94	13.87
73	Ahuimanu	75.0	US	1544374620	71	21.44	-157.84	73.94	12.75
74	Hamilton	75.0	BM	1544374500	55	32.3	-64.78	64.4	11.41
75	Lebu	20.0	ET	1544374800	63	8.96	38.73	60.8	9.17
76	Codrington	40.0	AU	1544374800	93	-28.95	153.24	64.4	3.36
77	Hasaki	0.0	JP	1544374800	74	35.73	140.83	35.6	4.7
78	Bayan	36.0	MN	1544377557	47	47.25	107.54	-19.35	3.36
79	Hithadhoo	76.0	MV	1544377558	100	-0.6	73.08	82.13	8.39
80	Isla Mujeres	75.0	MX	1544373780	74	21.23	-86.73	82.4	6.93
81	Vaini	80.0	IN	1544377559	89	15.34	74.49	72.23	1.68
82	Tiassale	48.0	CI	1544377560	72	5.9	-4.83	83.98	3.58
83	Nemuro	12.0	JP	1544377560	100	43.32	145.57	29.3	25.72
84	Vryburg	56.0	ZA	1544377560	14	-26.96	24.73	75.7	9.84
85	Cape Town	20.0	ZA	1544374800	68	-33.93	18.42	68	21.92
86	North Bend	90.0	US	1544374560	89	43.41	-124.22	50	6.93
87	San Carlos de Bariloche	40.0	AR	1544374800	44	-41.13	-71.31	60.8	26.4
88	Sept-Iles	75.0	CA	1544374800	55	50.2	-66.38	10.4	5.82
89	Atuona	76.0	PF	1544377562	100	-9.8	-139.03	78.98	16.33
90	Wajima	92.0	JP	1544377563	100	37.4	136.9	42.04	4.59
91	Portland	90.0	US	1544374560	64	45.52	-122.67	42.08	16.11
92	La Asuncion	64.0	EC	1544377563	71	-1.64	-78.74	58.1	2.68
94	Candolim	68.0	IN	1544373000	74	15.52	73.76	80.6	10.29
96	Kropotkin	68.0	RU	1544377565	91	45.43	40.58	32.68	10.07
97	Craig	90.0	US	1544376900	81	40.52	-107.55	28.94	2.35
99	Askiz	48.0	RU	1544377566	63	53.13	90.53	-8.5	1.57
100	Ilulissat	75.0	GL	1544374200	60	69.22	-51.1	10.4	8.05
102	New Norfolk	40.0	AU	1544376600	87	-42.78	147.06	55.4	6.93
103	Nizwa	0.0	OM	1544377568	60	22.93	57.53	58.33	3.69
104	Whitehorse	75.0	CA	1544374800	69	60.72	-135.06	35.6	19.46
105	Georgetown	75.0	GY	1544374800	66	6.8	-58.16	84.2	13.87
106	Harper	90.0	US	1544376900	65	30.3	-99.24	46.04	11.41
107	Saskylakh	8.0	RU	1544377572	36	71.97	114.09	-24.25	4.59
108	Calama	0.0	CL	1544374800	3	-22.46	-68.93	82.4	21.92
109	Tasiilaq	48.0	GL	1544374200	45	65.61	-37.64	26.6	18.34
110	Ponta do Sol	36.0	BR	1544377574	47	-20.63	-46	79.93	12.08
111	Chunskiy	44.0	RU	1544377575	62	56.08	99.63	-21.73	4.14
112	Teberda	8.0	RU	1544377575	71	43.44	41.74	8.74	0.89
113	Castro	75.0	CL	1544374800	87	-42.48	-73.76	57.2	14.99
114	Atar	0.0	MR	1544377576	13	20.52	-13.05	79.25	6.38
115	Butaritari	0.0	KI	1544377577	100	3.07	172.79	84.25	7.38
117	Provideniya	44.0	RU	1544377577	100	64.42	-173.23	15.35	20.8
118	Saldanha	0.0	PT	1544377578	92	41.42	-6.55	43.93	2.35
119	Monte Alegre	20.0	BR	1544377578	72	-2	-54.07	85.87	3.47
120	Rio Grande	0.0	BR	1544374800	33	-32.03	-52.1	89.6	6.93
121	Pisco	20.0	PE	1544374800	30	-13.71	-76.2	71.6	11.41
122	Lasa	40.0	CY	1544374800	63	34.92	32.53	64.4	4.7
124	Havre-Saint-Pierre	20.0	CA	1544374800	66	50.23	-63.6	15.8	13.87
125	Walvis Bay	0.0	NA	1544374800	60	-22.95	14.51	68	17.22
126	Nanortalik	68.0	GL	1544377581	91	60.14	-45.24	27.68	10.74
127	Astoria	90.0	US	1544374500	82	46.19	-123.83	44.06	11.41
128	Veraval	88.0	FR	1544374800	93	49.65	0.71	51.8	17.22
129	Bethel	90.0	US	1544376360	92	60.79	-161.76	21.2	2.35
130	Pacific Grove	1.0	US	1544375700	76	36.62	-121.92	50	2.57
131	Kholodnyy	32.0	RU	1544377583	40	62.72	147.95	-28.35	2.68
132	Kerchevskiy	88.0	RU	1544377584	96	59.95	56.29	21.25	4.36
133	Sao Joao da Barra	75.0	BR	1544374800	50	-21.64	-41.05	78.8	18.34
134	Shugurovo	76.0	RU	1544377585	95	54.51	52.13	23.18	4.7
135	Adre	0.0	TD	1544377585	53	13.47	22.2	67.87	3.36
136	Port Elizabeth	1.0	US	1544374560	58	39.31	-74.98	35.06	6.93
137	Barrow	44.0	AR	1544377586	46	-38.31	-60.23	81.01	11.97
138	Meulaboh	64.0	ID	1544377586	100	4.14	96.13	79.84	3.13
139	Port Blair	68.0	IN	1544377403	100	11.67	92.75	78.8	7.16
141	Berlevag	90.0	NO	1544374200	100	70.86	29.09	26.6	2.24
142	Gisors	92.0	FR	1544374800	87	49.28	1.78	50	10.29
143	Geraldton	75.0	CA	1544374800	72	49.72	-86.95	17.6	6.93
144	Matane	90.0	CA	1544374800	65	48.83	-67.52	8.6	5.82
145	Salym	64.0	RU	1544377591	67	60.06	71.48	10.54	5.59
146	Carnarvon	32.0	ZA	1544377592	26	-30.97	22.13	67.1	12.19
147	Bairnsdale	88.0	AU	1544377593	96	-37.83	147.63	63.5	3.58
149	Tiksi	0.0	RU	1544377594	0	71.64	128.87	-41.31	5.93
150	Coahuayana	0.0	MX	1544377594	41	18.62	-100.35	81.28	3.02
151	Juiz de Fora	75.0	BR	1544374800	68	-21.76	-43.35	68	10.29
152	Airai	24.0	TL	1544377595	93	-8.93	125.41	71.11	1.68
153	Vila Velha	40.0	BR	1544374800	70	-3.71	-38.6	86	11.41
154	Karratha	12.0	AU	1544377596	17	-20.74	116.85	93.79	14.76
155	Dikson	64.0	RU	1544377596	100	73.51	80.55	21.83	21.81
156	Launceston	90.0	AU	1544374800	87	-41.43	147.14	57.2	9.17
157	Morondava	56.0	MG	1544377597	82	-20.3	44.28	83.48	4.92
158	Mar del Plata	44.0	AR	1544377598	30	-46.43	-67.52	78.58	10.63
159	Tumsar	56.0	IN	1544377599	95	21.38	79.75	64	1.9
160	Norman Wells	75.0	CA	1544374800	85	65.28	-126.83	24.8	3.58
161	Hilo	90.0	US	1544374380	90	19.71	-155.08	69.08	4.7
162	Mogadishu	20.0	SO	1544377602	99	2.04	45.34	81.23	18.12
163	Sao Filipe	0.0	CV	1544377603	82	14.9	-24.5	79.48	11.41
164	Nizhniy Odes	76.0	RU	1544377604	81	63.64	54.86	19.22	4.92
165	Esperance	20.0	TT	1544374800	45	10.24	-61.45	87.8	17.22
167	Atambua	68.0	ID	1544377607	100	-9.11	124.89	79.21	3.02
168	Vardo	1.0	US	1544376000	51	39.62	-77.74	32	4.7
169	Arraial do Cabo	20.0	BR	1544374800	61	-22.97	-42.02	78.8	11.41
170	Bambous Virieux	75.0	MU	1544374800	88	-20.34	57.76	78.8	8.05
171	Isangel	80.0	VU	1544377610	100	-19.55	169.27	77.27	17.9
172	Sinnamary	76.0	GF	1544377612	98	5.38	-52.96	79.07	8.5
174	Vilyuysk	44.0	RU	1544377613	66	63.75	121.63	-22.23	4.59
175	Ribeira Grande	40.0	PT	1544374800	88	38.52	-28.7	66.2	12.75
176	Cap Malheureux	75.0	MU	1544374800	88	-19.98	57.61	78.8	8.05
177	Torbay	20.0	CA	1544374800	73	47.66	-52.73	24.8	35.57
178	Siniscola	20.0	IT	1544376000	59	40.57	9.69	60.8	31.09
179	Kamloops	44.0	CA	1544377505	80	50.68	-120.34	7.7	2.13
180	Kodiak	1.0	US	1544375700	46	39.95	-94.76	30.2	8.05
181	Avarua	92.0	CK	1544377620	100	-21.21	-159.78	77.05	36.01
182	San Jose	12.0	PH	1544377622	94	15.79	120.99	69.76	2.13
183	Vershino-Darasunskiy	0.0	RU	1544377623	0	52.35	115.52	-34.56	2.91
184	Saint-Leu	75.0	RE	1544376600	69	-21.15	55.28	80.6	3.36
185	Edea	20.0	CM	1544374800	83	3.8	10.13	82.4	3.36
187	Tanushimaru	90.0	JP	1544374800	69	33.35	130.68	42.8	5.82
188	Hovd	75.0	NO	1544376000	98	63.83	10.7	37.4	9.17
190	Luderitz	0.0	NA	1544377629	67	-26.65	15.16	63.55	25.39
191	Grindavik	75.0	IS	1544376600	74	63.84	-22.43	35.6	20.8
192	Leningradskiy	56.0	RU	1544377632	100	69.38	178.42	-3.96	25.05
193	Brae	80.0	GB	1544376000	80	60.4	-1.35	35.6	17.22
194	Nishihara	75.0	JP	1544376600	48	35.74	139.53	44.6	18.34
195	Phitsanulok	76.0	TH	1544377633	98	16.82	100.26	70.7	2.91
196	Te Anau	92.0	NZ	1544377634	100	-45.41	167.72	46.45	3.36
197	The Valley	40.0	AI	1544374800	65	18.22	-63.06	86	14.99
198	Nelson Bay	0.0	AU	1544376600	93	-32.72	152.14	62.6	22.59
200	Cherskiy	64.0	RU	1544377382	74	68.75	161.3	-16.65	5.93
201	Jasper	92.0	US	1544375940	87	33.83	-87.28	42.8	5.82
203	Kununurra	0.0	AU	1544376600	88	-15.77	128.74	80.6	3.36
204	Kruisfontein	20.0	ZA	1544377636	83	-34	24.73	64.54	9.51
206	Tual	64.0	ID	1544377637	100	-5.67	132.75	84.88	9.62
208	Srednekolymsk	68.0	RU	1544377638	46	67.46	153.71	-28.71	3.02
209	Sioux Lookout	90.0	CA	1544375640	92	50.1	-91.92	15.8	5.82
210	Wanning	75.0	AT	1544376000	81	48.64	13.53	44.6	16.11
211	Cayenne	64.0	GF	1544376600	70	4.94	-52.33	84.2	11.41
212	Wamba	0.0	CD	1544377639	62	2.14	27.99	73	3.47
213	Ko Samui	68.0	TH	1544377518	100	9.54	99.94	78.98	9.4
214	Taoudenni	0.0	ML	1544377640	27	22.68	-3.98	67.69	7.16
215	Jumilla	0.0	ES	1544374800	67	38.47	-1.33	62.6	9.17
216	Dondo	90.0	MZ	1544374800	100	-19.62	34.74	77	6.93
217	Tynda	20.0	RU	1544377641	60	55.15	124.74	-8.05	6.15
218	Lata	24.0	IN	1544377642	87	30.78	78.62	28.63	1.9
219	Mattru	68.0	SL	1544377642	33	7.62	-11.83	94.33	2.8
220	Binga	20.0	ZW	1544377642	75	-17.62	27.34	81.01	6.82
221	Seoul	1.0	KR	1544376600	72	37.57	126.98	21.2	1.12
222	Naryan-Mar	68.0	RU	1544377643	83	67.67	53.09	20.3	14.2
223	College Place	90.0	US	1544376060	96	46.05	-118.39	30.92	3.36
224	Flin Flon	40.0	CA	1544374800	85	54.77	-101.88	15.8	4.7
225	Aykhal	12.0	RU	1544377644	42	65.95	111.51	-28.08	4.03
226	Kieta	48.0	PG	1544377645	98	-6.22	155.63	79.66	3.91
227	Duldurga	12.0	RU	1544377645	33	50.67	113.59	-23.98	2.8
228	Bandarbeyla	8.0	SO	1544377645	100	9.49	50.81	79.25	17.9
229	Fort-Shevchenko	20.0	KZ	1544377646	100	44.51	50.26	31.1	6.6
230	Kaitangata	92.0	NZ	1544377646	89	-46.28	169.85	49.82	6.93
231	Tura	0.0	IN	1544377647	83	25.52	90.21	54.64	2.35
232	Thompson	75.0	CA	1544375460	84	55.74	-97.86	1.4	2.24
233	Abu Samrah	92.0	SY	1544377647	96	35.3	37.18	48.61	5.14
234	Borogontsy	36.0	RU	1544377648	61	62.67	131.17	-33.84	3.24
236	Araxa	12.0	BR	1544377648	65	-19.59	-46.94	75.16	12.19
237	Anadyr	0.0	RU	1544374800	69	64.73	177.51	-9.41	13.42
238	Point Fortin	20.0	TT	1544374800	45	10.16	-61.68	87.8	17.22
239	Libreville	40.0	GA	1544374800	83	0.39	9.45	82.4	5.82
240	Bathsheba	75.0	BB	1544374800	69	13.22	-59.52	82.4	14.99
241	Nova Prata	68.0	BR	1544377651	59	-28.78	-51.61	78.76	4.36
243	Denpasar	88.0	ID	1544377583	100	-8.65	115.22	73.9	1.45
244	Chamalieres	88.0	FR	1544374800	76	45.78	3.06	48.2	10.29
245	Nevesinje	75.0	BA	1544374800	70	43.26	18.11	42.8	4.7
248	Buala	8.0	SB	1544377653	100	-8.15	159.59	79.7	1.34
249	Khilok	44.0	RU	1544377654	67	51.36	110.46	-16.87	2.68
251	Clyde River	5.0	CA	1544374800	74	70.47	-68.59	-23.81	2.24
252	Faanui	12.0	PF	1544377655	100	-16.48	-151.75	82.18	17.67
253	Pangnirtung	5.0	CA	1544374800	69	66.15	-65.72	-13.01	4.7
254	Fort Portal	8.0	UG	1544377656	94	0.66	30.28	59.77	0.56
255	Matale	44.0	LK	1544377656	97	7.47	80.62	67.87	1.9
257	Sekoma	0.0	BW	1544377656	23	-24.51	23.93	78.31	5.59
258	Muroto	68.0	JP	1544377657	100	33.37	134.14	38.89	9.17
259	Sawtell	0.0	AU	1544376600	77	-30.38	153.1	69.8	12.75
260	Zhob	56.0	PK	1544377658	100	31.34	69.45	36.91	2.24
261	Price	1.0	US	1544374380	72	39.6	-110.81	32	3.36
262	Rome	0.0	IT	1544376000	54	41.89	12.48	62.6	12.75
264	Sao Felix do Xingu	56.0	BR	1544377661	88	-6.64	-51.99	78.62	2.91
265	Fountain	40.0	US	1544376900	38	38.68	-104.7	37.94	8.05
266	Deniliquin	68.0	AU	1544377665	93	-35.53	144.96	66.02	6.38
267	San Patricio	12.0	PY	1544377666	55	-26.98	-56.83	86.41	5.14
268	Tereze	90.0	RU	1544376600	93	43.94	42.44	35.6	15.66
269	Namibe	0.0	AO	1544377669	100	-15.19	12.15	71.65	7.16
270	Nantucket	1.0	US	1544374560	42	41.28	-70.1	33.08	8.05
271	Hambantota	80.0	LK	1544377671	100	6.12	81.12	79.39	6.04
272	Marquette	5.0	US	1544374560	79	46.54	-87.4	26.96	5.82
273	Sungurlu	64.0	TR	1544377673	80	40.17	34.38	31.96	3.91
274	Port Hardy	90.0	CA	1544374800	93	50.7	-127.42	42.8	16.11
275	Oyo	44.0	NG	1544377675	43	7.84	3.93	85.73	4.03
276	Chutove	92.0	UA	1544377677	94	49.72	35.17	35.33	14.09
277	Fort Nelson	75.0	CA	1544374800	84	58.81	-122.69	-2.21	2.24
278	Muscat	0.0	OM	1544374200	41	23.6	58.55	78.8	6.93
279	Salou	0.0	ES	1544374800	48	41.08	1.14	62.6	14.99
280	Dryden	90.0	CA	1544375640	92	49.79	-92.84	15.8	5.82
281	Takoradi	12.0	GH	1544377575	100	4.89	-1.75	82.85	9.62
282	Chuy	0.0	UY	1544377683	63	-33.69	-53.46	81.73	7.94
284	Thinadhoo	80.0	MV	1544377685	100	0.53	72.93	82.18	3.47
285	Dandong	20.0	CN	1544377686	73	40.12	124.37	-2.25	2.8
286	Sur	0.0	OM	1544377687	97	22.57	59.53	76.69	2.57
287	Inisa	64.0	NG	1544377688	43	7.99	4.65	85.33	4.14
288	Paraiso	5.0	MX	1544373720	50	24.01	-104.61	51.8	2.24
289	Shepsi	48.0	RU	1544377689	93	44.04	39.15	57.83	22.82
290	Katsuura	68.0	JP	1544377689	100	33.93	134.5	38.48	5.93
291	Cobija	40.0	BR	1544374800	66	-11.02	-68.77	87.8	9.17
292	Iqaluit	75.0	CA	1544374800	70	63.75	-68.52	-2.21	9.17
294	Carolina	40.0	PR	1544374560	62	18.38	-65.96	84.02	17.22
295	Puerto Maldonado	0.0	PE	1544377691	50	-12.59	-69.19	92.71	1.23
296	Kavaratti	0.0	IN	1544377692	99	10.57	72.64	84.88	7.05
297	Dingle	56.0	PH	1544377692	90	11	122.67	76.15	9.28
298	Champerico	40.0	MX	1544374200	54	16.38	-93.6	82.4	5.82
300	Lashio	92.0	MM	1544377693	100	22.93	97.75	57.97	1.9
301	Arkhangelsk	90.0	RU	1544376600	85	64.54	40.54	24.8	11.18
302	Fortuna	0.0	ES	1544374800	67	38.18	-1.13	64.4	9.17
303	Paamiut	44.0	GL	1544377694	100	61.99	-49.67	28.18	6.82
304	Guerrero Negro	0.0	MX	1544377694	62	27.97	-114.04	66.34	1.9
305	General Roca	20.0	AR	1544374800	27	-39.03	-67.58	77	10.29
307	Killybegs	75.0	IE	1544374800	87	54.63	-8.45	48.2	25.28
308	Souillac	90.0	FR	1544374800	76	45.6	-0.6	51.8	12.75
312	Eyl	0.0	SO	1544377697	94	7.98	49.82	78.31	16.22
313	Maceio	40.0	BR	1544374800	52	-9.67	-35.74	87.8	16.11
314	Churapcha	24.0	RU	1544377697	51	62	132.43	-30.69	2.8
315	Padang	32.0	ID	1544377698	100	-0.92	100.36	82.18	1.79
316	Inongo	24.0	CD	1544377698	100	-1.93	18.29	70.7	1.9
317	Port Hedland	80.0	AU	1544376600	66	-20.31	118.58	84.2	8.05
318	Avera	90.0	US	1544376900	87	33.19	-82.53	41	9.17
319	Xining	8.0	CN	1544377700	57	36.62	101.77	15.94	5.7
321	Dudinka	92.0	RU	1544377700	79	69.41	86.18	4.55	16.22
322	Magura	0.0	NG	1544377701	31	12.46	6.59	76.33	8.39
323	Westport	75.0	IE	1544376600	87	53.8	-9.52	42.8	18.34
324	Broome	0.0	GB	1544376000	75	52.47	1.45	45.32	9.17
325	Beloha	12.0	MG	1544377702	86	-25.17	45.06	75.34	4.36
326	East London	0.0	ZA	1544374800	68	-33.02	27.91	66.2	4.7
327	Mount Gambier	0.0	AU	1544374800	93	-37.83	140.78	50	6.93
328	Turukhansk	88.0	RU	1544377703	76	65.8	87.96	5.32	9.06
329	Gushikawa	90.0	JP	1544376960	93	26.35	127.87	66.2	17.22
330	Ngunguru	0.0	NZ	1544377704	100	-35.62	174.5	60.94	17
331	Ongandjera	0.0	NA	1544377705	10	-17.88	15.07	78.62	8.72
332	Dasoguz	0.0	TM	1544374800	63	41.84	59.97	30.2	6.93
333	Mujiayingzi	56.0	CN	1544377705	55	42.12	118.78	-2.02	2.57
334	Tabou	12.0	CI	1544377706	100	4.42	-7.36	82.18	12.97
335	Kalawit	36.0	PH	1544377706	91	7.91	122.53	74.03	3.47
336	Nea Karvali	20.0	GR	1544376000	81	40.96	24.51	46.4	5.82
337	Surt	64.0	LY	1544377707	100	31.21	16.59	63.46	17.45
338	Jidong	0.0	CN	1544377707	46	45.25	131.14	-1.71	4.92
339	Shuangcheng	0.0	CN	1544374800	69	45.37	126.3	-7.61	2.24
340	Brazzaville	20.0	CD	1544374800	58	-4.27	15.27	86	3.36
341	Ouegoa	36.0	NC	1544377708	83	-20.34	164.44	74.53	12.75
342	Dukat	20.0	RS	1544377709	85	42.44	22.31	23.41	2.01
343	Plastun	0.0	RU	1544377709	51	44.76	136.29	0.5	9.51
344	Robinson	1.0	US	1544376900	63	39.01	-87.74	33.08	9.17
345	Sambava	64.0	MG	1544377710	100	-14.27	50.17	80.33	13.42
346	Debre Sina	0.0	ET	1544377710	83	9.85	39.76	48.16	1.9
348	San Rafael	0.0	AR	1544377712	23	-34.61	-68.33	83.71	6.93
349	Kungurtug	0.0	RU	1544377712	49	50.6	97.53	-33.88	3.91
350	San Andres	24.0	PH	1544377713	100	13.32	122.68	81.46	13.76
351	Seybaplaya	40.0	MX	1544374020	74	19.65	-90.67	82.4	7.72
352	Talcahuano	20.0	CL	1544374800	68	-36.72	-73.12	68	6.93
354	Kloulklubed	75.0	PW	1544374200	88	7.04	134.26	78.8	6.93
355	Batticaloa	92.0	LK	1544377715	100	7.71	81.69	77.32	6.38
357	Salalah	20.0	OM	1544374200	65	17.01	54.1	77	4.7
359	Djambala	76.0	CG	1544377716	94	-2.55	14.76	72.55	3.02
360	Sierra Vista	1.0	US	1544376360	55	31.55	-110.3	52.52	10.29
361	Garowe	0.0	SO	1544377717	52	8.41	48.48	74.62	10.96
362	Seymchan	32.0	RU	1544377717	39	62.93	152.39	-26.23	2.68
363	Sulphur Springs	75.0	US	1544376900	68	33.14	-95.6	46.4	11.41
364	Esmeraldas	75.0	BR	1544374800	60	-19.76	-44.31	71.6	10.29
365	Benjamin Hill	0.0	MX	1544377718	59	30.17	-111.1	64.13	7.94
367	Sechelt	90.0	CA	1544374800	93	49.47	-123.76	42.8	14.99
368	Okhotsk	36.0	RU	1544377720	100	59.36	143.24	4.15	7.94
369	Lompoc	1.0	US	1544375700	87	34.64	-120.46	55.04	3.69
370	Mitsamiouli	40.0	KM	1544374800	74	-11.38	43.28	82.4	11.41
371	Niteroi	0.0	BR	1544374800	29	-29.95	-51.16	87.8	4.7
372	Shimoda	20.0	JP	1544377721	100	34.7	138.93	50.72	17.9
373	Payo	68.0	ID	1544377722	93	-3.75	103.64	74.44	0.78
374	Umm Lajj	0.0	SA	1544377722	100	25.02	37.27	65.62	10.07
375	Manggar	8.0	ID	1544377723	100	-2.88	108.27	74.26	1.45
376	Talnakh	92.0	RU	1544377723	74	69.49	88.39	0.23	8.95
377	Rock Springs	1.0	US	1544374440	88	41.59	-109.2	17.96	5.82
378	Kiunga	76.0	PG	1544377724	97	-6.12	141.3	73.36	2.68
379	Port Augusta	75.0	AU	1544376600	82	-32.49	137.76	62.6	11.41
380	Ojinaga	1.0	US	1544375700	71	29.56	-104.41	51.98	3.36
381	Ponnampet	0.0	IN	1544377725	81	12.15	75.93	66.07	1.23
382	Abalak	0.0	NE	1544377725	25	15.46	6.28	70.07	9.73
383	Cockburn Town	12.0	TC	1544377561	99	21.46	-71.14	80.92	23.26
384	Ulladulla	92.0	AU	1544377726	100	-35.36	150.48	66.34	8.28
385	Pleshanovo	88.0	RU	1544374800	96	57.46	28.17	35.6	8.95
386	Campbellton	44.0	CA	1544377727	100	48	-66.68	10.54	5.59
387	Patti	40.0	IT	1544374500	63	38.14	14.96	62.6	10.29
388	Sampang	80.0	ID	1544377728	100	-7.54	109.46	79.7	4.36
389	Dunedin	32.0	NZ	1544377598	90	-45.87	170.5	47.44	7.49
390	Vengerovo	0.0	RU	1544377728	44	55.68	76.74	-5.98	7.83
391	Bhatkal	24.0	IN	1544377729	98	13.97	74.57	84.16	11.74
392	Pochutla	40.0	MX	1544373960	62	15.74	-96.47	86	5.82
393	Matara	20.0	PE	1544374800	48	-13.74	-72.9	62.6	13.87
394	Sibolga	88.0	ID	1544377730	100	1.74	98.78	71.11	1.79
395	San Antonio	0.0	CL	1544374800	56	-33.58	-71.61	80.6	18.34
396	Qaqortoq	0.0	GL	1544377732	95	60.72	-46.03	26.02	9.51
397	Almaznyy	90.0	RU	1544376600	97	48.03	40.04	32	17.9
398	Sorland	75.0	NO	1544376000	100	67.67	12.69	37.4	23.04
400	Lima	0.0	PE	1544374800	57	-12.06	-77.04	77	12.75
401	Oranjemund	0.0	ZA	1544377734	95	-28.55	16.43	63.37	19.35
402	Mezen	88.0	RU	1544377734	76	65.85	44.24	26.65	9.17
403	Junction City	1.0	US	1544374560	68	39.03	-96.83	31.28	6.93
404	Nouadhibou	0.0	MR	1544377735	42	20.93	-17.03	77.72	1.68
